"title","length","rental_rate"
"Campus Remember",167,2.99
"Carol Texas",151,2.99
"Cause Date",179,2.99
"Chaplin License",146,2.99
"Chitty Lock",107,2.99
"Chocolate Duck",132,2.99
"Cider Desire",101,2.99
"Clones Pinocchio",124,2.99
"Clueless Bucket",95,2.99
"Core Suit",92,2.99
"Color Philadelphia",149,2.99
"Confused Candles",122,2.99
"Conspiracy Spirit",184,2.99
"Contact Anonymous",166,2.99
"Cowboy Doom",146,2.99
"Crazy Home",136,2.99
"Crossroads Casualties",153,2.99
"Crusade Honey",112,2.99
"Crystal Breaking",184,2.99
"Cyclone Family",176,2.99
